id,nome,texto,imagem
12,Japan,"<strong>Japan Health Promotion & Fitness Foundation </strong><br />\r\nTel: 81-3-3591-7154<br />\r\nFax: 81-3-3591-7155<br />\r\nHomepage: http://www.health-net.or.jp<br />\r\n<br />\r\n<strong>Sasakawa Sports Foundation </strong><br />\r\nTel: 81-3-3502-8778<br />\r\nFax: 81-3-3580-5968<br />\r\nAddress: Ark Mori Bldg., 1-12-32, Akasaka, Minato-ku TOKYO 107-6011, Japan<br />\r\nHomepage: http://www.ssf.or.jp<br />\r\nE-mail: tamazawa@ssf.or.jp",1357492571.jpg
13,Korea,"<strong>Korea Judo Academy </strong> <br />\r\nTel: 82-2-786-5441<br />\r\nFax: 82-2-782-1148 <br />\r\nAddress : Youido Sports Center, P.O.Box 417, 45-3, Youido-dong, Youndungpo-ku, Seoul, Korea<br />\r\nE-mail : kingmsoo@chollian.net <br />\r\n<br />\r\n<strong>Sport For All Busan Association </strong> <br />\r\nTel: 82-51-731-2021 <br />\r\nFax: 82-51-731-2215 <br />\r\nAddress : 1127-37, Woo 2-dong, Haeundae-ku, Busan 612-827, Korea<br />\r\nE-mail: webmaster@saba.or.kr <br />\r\n<br />\r\n<strong>Korea Council of Sport for All (KOCOSA) </strong> <br />\r\nTel: 82-2-21527325 | 82-11-98417821<br />\r\nFax: 82-11-2152-7393<br />\r\nAddress: 88 Bangi-dong, Songpa-gu, Seoul, 138-050 Korea<br />\r\nHomepage: www.sportal.or.kr<br />\r\nE-mail: pwj82@sportal.or.kr<br />\r\n<br />\r\n<strong>Sport for All Korea Association (SAKA)</strong> <br />\r\nTel: 82-2-2045-7840<br />\r\nFax: 82-2-428-2018<br />\r\nAddress: 2nd Shinhan Bld, #12-3, Yeouido-dong, Yeongdeungpo-gu, Seoul, Korea<br />\r\nHomepage: www.koreascf.org<br />\r\nE-mail: ohselin@chol.com | king1944@naver.com<br />\r\n",<blank>
14,"Macau, China","<strong> Macau Sports Development Board </strong> <br />\r\nTel: 853-28510426<br />\r\nFax: 853-28343708<br />\r\nAddress : Av. Dr. Rodrigo Rodrigues, s/n, Forum de Macau, Bloco I, 4 andar, Macau <br />\r\nPost Box: 334 Macau<br />\r\nHomepage: www.sport.gov.mo <br />\r\nE-mail : sport@macau.ctm.net<br />\r\n<br />\r\n<strong> Civic and Municipal Affairs Bureau of Macao </strong> <br />\r\nTel: 853-83993129<br />\r\nFax: 853-28355411<br />\r\nAddress: Edif. Civic and Municipal Affairs Bureau, Macau<br />\r\nHomepage: http://www.iacm.gov.mo/main_c.htm<br />\r\nE-mail: drpi@iacm.gov.mo<br />\r\n",<blank>
15,Malaysia,"<strong>Asian Football Confederation </strong><br />\r\nTel: 603 8994 3388<br />\r\nFax: 603 8994 2689<br />\r\nAddress : AFC House, Jalan 1/155B, Bukit Jalil, 57000 Kuala Lumpur, Malaysia<br />\r\nHomepage: www.the-afc.com<br />\r\n<br />\r\n<strong>National Sports Council of Malaysia</strong> <br />\r\nTel: 60-390581877<br />\r\nFax: 60-390573561<br />\r\nAddress: Majilis Sukan Negara Malaysia, Sports Resource Center P.O.Box 10440, 50714 Kuala Lumpur, Malaysia<br />\r\nHomepage: http://www.nsc.gov.my<br />\r\nE-mail: webinfo@nsc.gov.my<br />\r\n<br />\r\n<strong>Yayasan Jantung Malaysia</strong><br />\r\nTel: 03-2693 4709<br />\r\nFax: 03-2693 3267<br />\r\nAddress: Wisma Yayasan Jantung Malaysia, 6, Lorong Lai Tet Loke 2, Off Lorong Gurney, 54100 Kuala Lumpur<br />\r\nE-mail: vsmaniam44@yahoo.com<br />\r\n<br />\r\n<strong>MARFIMA - Malaysian Leisure and Recreation Council</strong><br />\r\nTel: (603)-9171 9924<br />\r\nFax: (603)-9172 1569<br />\r\nAddress: International Youth Centre<br />\r\nJalan Yaacob Latif,<br />\r\nBandar Tun Razak,<br />\r\nPost Code 56000 Kuala Lumpur,<br />\r\nWilayah Persekutuan,<br />\r\nMALAYSIA<br />\r\nWebsite: www.marfima.org<br />\r\nEmail: marfima2013@gmail.com",1357492504.jpg
19,Pakistan,"<strong> Pakistan Youth Minni Sports Development Association</strong>  <br />\r\nTel: +92-42-746-6516<br />\r\nFax: +92-42-758-7263 <br />\r\nAddress : 39G Sanam Arcade Mozang Chungi Lahore Pakistan<br />\r\nE-mail: skarar2001@yahoo.com<br />\r\n<br />\r\n<strong>Pakistan Sports for All Association</strong> <br />\r\nTel: +92-300-6609205 | +92-41-5803463<br />\r\nFax: +92-41-8503205<br />\r\nAddress: New Hamza Center 1st Floor, Kohi Noor Town College Road, Faisalabad, Pakistan<br />\r\nE-mail: gilanialysh@hotmail.com | gilanialysh@gmail.com",1357489101.jpg
20,Philippines,"<strong>PAIL Olympic Committee </strong> <br />\r\nTel: 632-523-6280<br />\r\nFax: 632-522-4896 <br />\r\nAddress : G/F Rizal Memorial Sports Complex, Pablo Ocampo RS St. Manica City, Philippines<br />\r\nE-mail: carrasco@mozcom.com <br />\r\n<br />\r\n<strong>Women Sports Foundation Philippines </strong> <br />\r\nTel: 63-917-450-2569<br />\r\nFax: 63-2-632-3532 <br />\r\nAddress : Suite 304 Agustin Bldg., 139 Makakas St., Central Dishiet Dillin, Quezon City, Philippines<br />\r\nE-mail: rbauzon@hotmail.com<br />\r\n<br />\r\n<strong>Philippine Dragon Boat Federation</strong><br />\r\nTel: 632-523-6280<br />\r\nFax: 632-522-4896<br />\r\nAddress: Rizal Memorial Sports Complex, Pablo Ocampo Sr.<br />\r\nSt ., Malate, Philippines 1004<br />\r\nHomepage: www.pdbf.com<br />\r\nE-mail: iodie74@hotmail.com | info@pdbf.com",<blank>
21,Qatar,"<strong> Qatar Sport For All Committee(YASA) </strong> <br />\r\nTel : 974-4-434-133   Fax : 974-443-7860 <br />\r\nEmail : qatarolympic@hotmail.com <br />\r\nAddress : P.O.Box 7494, Doha, Qatar",<blank>
23,Singapore,"<strong>Singapore National Olympic Council</strong> <br />\r\nTel: 65-3459-273<br />\r\nFax: 65-3459-274 <br />\r\nAddress: Singapore Sports Council Building, West Wing - 2nd Storey, 230 Stadium Boulevard, Singapore 397799, Singapore<br />\r\nHomepage: http://www.singaporeolympics.com<br />\r\nE-mail: admin@snoc.org.sg<br />\r\n<br />\r\n<strong>Asian Bodybuilding & Physique Sports Federation</strong><br />\r\nTel: 65-6747-0635<br />\r\nTel: 65-6747-0636<br />\r\nAddress: 35 Tannery Raod, #04-01, Tannery Block, Ruby Industrial Complex, Singapore 347740<br />\r\nHomepage: www.abbf.asia",<blank>
25,Chinese Taipei,"<strong>Chinese Taipei Olympic Committee</strong><br />\r\nTel: +886 2 27521442 | +866 28771 1398<br />\r\nFax: +886 2 2777 3803<br />\r\nAddress: 20 Chu Lun St., Taipei 104, Chinese Taipei<br />\r\nHomepage: www.tpenoc.net<br />\r\nE-mail: international@tpe-olympic.org.tw<br />\r\n<br />\r\n<strong>Chinese Taipei Mountaineering Association</strong><br />\r\nTel: 886-2-87711431<br />\r\nFax: 886-2-27524741<br />\r\nAddress: Room 703, 20 Chu Lun St., Taipei 104, Chinese Taipei<br />\r\nHomepage: http://www.alpineclub.org.tw/tier/front/bin/home.phtml",<blank>
26,Thailand,"<strong>Sport Authority of Thailand</strong> <br />\r\nTel: 662-318-0940 <br />\r\nFax: 662-314-2255 <br />\r\nAddress: 2088 Ramkkamhaeng Rd., Hua Maak, Bangkok 10240, Thailand<br />\r\nHomepage: www.sat.or.th<br />\r\nE-mail: luangtra@hotmail.com<br />\r\n<br />\r\n<strong>Sport for All Association (Thailand)</strong><br />\r\nTel: 66-23144670<br />\r\nFax: 66-27226612<br />\r\nAddress: 1546 Pattanakarn Road; Suan Luang, Bangkok, 10250, Thailand<br />\r\nHomepage: www.asia12go.com",1357488830.jpg
27,Vietnam,"<strong> Vietnam Olympic Committee </strong> <br />\r\nTel: 84-4-733-3108 <br />\r\nFax: 84-4-733-1198 <br />\r\nAddress: 36 Tran Phu Str. Hanoi, Vietnam<br />\r\nHomepage: www.voc.org.vn<br />\r\nE-mail: le_anh_tho@yahoo.com ",1357492489.jpg

